player,referrer,source
0x3a4c14f0397cf6739c14abd9d84acfabd0b4a1ee,0x09b4a7c9cbe8fdbb7a098b6e17d92b109ee728f4,file2
0x3adca30aff4ca36b7bde271cbcb6d87dd08bcd3d,0x30ee171af6a576499ff0170e59031f7744564535,file2
0x3b1c230876cfc9942c7a383f6d7d40dd2c50cb66,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x3b82155647c357d38abd1f180950c59d08472495,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x3ba08e89a57a4e8cb58ebbe5965e5a76e930a753,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x3c1b02d961f66c93515557bcca0d88ec6eb21b78,0x755bdee7977fd33701397f294cbe2767da4f5a04,file2
0x3d626bd7f59e925215a23f31c48c60767370fb83,0xeaef0d634a43723f4304790538ebc14a7d5cfa0c,file1-v4
0x3dbae5950213a895045bf031b05b10457f33963e,0xe8fa65ae8e23874771fa6fd765b7eaf3e959e4d7,file2
0x3e9e423eb6f14dea6a1d6e574bc3c2534e540942,0xc9bfc3383c329d4903de9d4822edb330ddd65184,file2
0x3ea9a7637dc5875606235b5683a746a1be8fa433,0x1a60fdc5eac05cb6a7f11c53fa14b0294d5ec22a,file1-v4
0x3f59ac670b58c82e3ce019ba66bba32d49375c5a,0xc6831eddaeebe2ebfe5e98ec7123845a6dcaed6a,file1-v4
0x3f5bc65b56e7769725b5b08ec20c4e05b68a1e2c,0xc415688a2e908c0b296c037670be363199c50817,file2
0x3f81aaf70f858c61e7c4c71cdeae05d167006acf,0x9f157d563fbf376f90fe8b3452507649a2d6a38f,file2
0x3fa262e815183f693b4a7affe912258df6b9e73d,0x8ed9686f40c4dbd89c6b86b84ee347d42b459c7c,file2
0x407a047eddbbee9c9c72cf4538e43088df323f64,0xe43c6d8a9674c5c3f8e97bea99197a076ce64ecd,file1-v4
0x40b4438c0ddcd10bfebd049cbaf4470b3a8e4f72,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x4250131facc5134f66e77c5ca3da3778d3454484,0x4cc4d14fabbf950de039245ece31c5e1be71d0cb,file1-v4
0x428ab2c13c13ac57d9ceafb218b7f83c8d1a3fd5,0x1c9a993b157ed09fa09ad20104e8821296b997d1,file2
0x433853d215b4bdb0672e2f7899e0f3c12b5d9e0a,0xf48eb579acd833e30afcdf43b158c567b3560076,file1-v4
0x43680c91995a2fa79f5b6d99b9f3dca1b0dc2999,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x4402340196da28ac48608ac996d229ae78fb3f2e,0x7f23c8372e1c2572f3d51d9ea79102bb600bb995,file1-v4
0x440813039fd72707a2b81546a049dce91a9bfee2,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
0x456424cc96bb0c1a50baf0b449d6f4141a5b4850,0x1a60fdc5eac05cb6a7f11c53fa14b0294d5ec22a,both
